,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
2352,DEL VALLEJO MIDDLE,California,32,40,,24.06,21.63,,63417009435
2353,DEL VISTA MATH AND SCIENCE ACADEMY,California,28.5,29.5,,20.95,22.1,,61089001209
2354,DELAINE EASTIN ELEMENTARY,California,34.66,40,,26.66,23.05,,62691008675
2355,DELANO ADULT,California,,,,,,,61086012579
2356,DELANO HIGH,California,61.67,60.92,,27.74,26.95,,61086001206
2357,DELEVAN DRIVE ELEMENTARY,California,21,20,,23.1,23.95,,62271002954
2358,DELHI HIGH,California,30.22,31.1,,22.96,22.48,,60003907540
2359,DELLA S. LINDLEY ELEMENTARY,California,20,22,,30.65,27.05,,62955008932
2360,DELPHIC ELEMENTARY,California,2,2,,16.5,18,,61098001214
2361,DELTA CHARTER,California,35.4,38.1,,18.39,14.49,,62703010391
2362,DELTA CHARTER,California,7.45,6.33,,16.51,19.12,,63560006664
2363,DELTA ELEMENTARY CHARTER,California,13,11.5,,22.38,22.26,,63311012128
2364,DELTA HIGH,California,12.47,12.2,,16.28,15.41,,63311005123
2365,DELTA HIGH,California,17.29,17.29,,31.35,29.55,,63567006082
2366,DELTA SIERRA MIDDLE,California,27.7,30,,14.8,14.4,,62223009391
2367,DELTA VIEW ELEMENTARY,California,30.1,29,,27.24,27.1,,62637010756
2368,DELTA VISTA HIGH,California,6,6,,12.83,12.5,,69100509216
2369,DELTA VISTA MIDDLE,California,36.01,37,,22.91,21.95,,62808008689
2370,DEMILLE ELEMENTARY,California,19,19,,24.53,26.42,,64215006904
2371,DENA BOER,California,21.45,23.2,,25.97,24.78,,63390006759
2372,DENAIR ACADEMIC AVENUES,California,10,7.5,,20.8,21.2,,61104012826
2373,DENAIR CHARTER ACADEMY,California,19.25,20.15,,17.51,16.87,,61104010438
2374,DENAIR COMMUNITY DAY,California,0.5,0.5,,2,,,61104011810
2375,DENAIR ELEMENTARY,California,18.22,19.36,,18.55,19.63,,61104008653
2376,DENAIR ELEMENTARY COMMUNITY DAY,California,,1,,,,,61104012219
2377,DENAIR HIGH,California,20.01,19.57,,17.09,18.45,,61104001218
2378,DENAIR MIDDLE,California,16.14,16.12,,18.22,19.42,,61104008654
2379,DENKER AVENUE ELEMENTARY,California,32,31,,24.56,24.97,,62271002955
2380,DENMAN (JAMES) MIDDLE,California,27.45,29.65,,21.38,20.37,,63441005628
2381,DENNIS G. EARL ELEMENTARY,California,40,37,,21.6,22.16,,60015811515
2382,DENT ELEMENTARY,California,29.3,30.17,,22.15,21.68,,61284001446
2383,DESCANSO ELEMENTARY,California,8,6,,24.5,18.5,,62610003902
2384,DESERT GARDEN ELEMENTARY,California,14,15.5,,25.79,27.35,,61203001333
2385,DESERT HOT SPRINGS HIGH,California,73.5,75.41,,24.67,24.68,,62955008267
2386,DESERT JUNIOR-SENIOR HIGH,California,28,28.9,,22.32,21.9,,62649003995
2387,DESERT KNOLLS ELEMENTARY,California,22,23,,24.64,24.78,,60001709103
2388,DESERT MIRAGE HIGH,California,91.89,91.35,,21.14,21.16,,60907011175
2389,DESERT MOUNTAIN COMMUNITY DAY,California,8,12.7,,15.5,8.66,,69102908285
2390,DESERT OASIS HIGH (CONTINUATION),California,10.4,10.8,,17.6,14.35,,60801000772
2391,DESERT RIDGE ACADEMY,California,37.67,38,,28.64,28.11,,61111012396
2392,DESERT ROSE ELEMENTARY,California,39.14,41.02,,29.84,28.45,,62958008934
2393,DESERT SANDS CHARTER,California,38.39,56.5,,28.6,31.58,,60282008714
2394,DESERT SPRINGS MIDDLE,California,34,34.5,,25.94,25.59,,62955009602
2395,DESERT TRAILS PREPARATORY ACADEMY,California,21,22,,28.95,31.64,,60171003819
2396,DESERT VALLEY HIGH (CONTINUATION),California,8,7.5,,21.38,22.67,,60582000525
2397,DESERT VIEW COMMUNITY DAY,California,1,1,,6,7,,61944012500
2398,DESERT VIEW ELEMENTARY,California,26,26,,28.77,30.15,,62088002505
2399,DESERT WILLOW INTERMEDIATE,California,28.51,37.04,,21.75,21.6,,62958010905
2400,DESERT WINDS CONTINUATION HIGH,California,49.06,48.56,,26.03,24.36,,60282000204
2401,DESIGN SCIENCE EARLY COLLEGE HIGH,California,10,7,,24.6,36.29,,61455010779
2402,DEWEY ACADEMY,California,8.03,8.01,,28.39,29.71,,62805004255
2403,DEWEY AVENUE ELEMENTARY,California,15,16.75,,25.2,23.82,,61494001892
2404,DEWEY ELEMENTARY,California,20,21,,19.6,19.95,,63432005447
2405,DEWOLF CONTINUATION HIGH,California,16.3,15.1,,19.94,22.58,,61455001720
2406,DI GIORGIO ELEMENTARY,California,10,6.25,,20.4,31.2,,61113001236
2407,DIABLO COMMUNITY DAY,California,3,3,,8.67,8,,62637008458
2408,DIABLO VIEW MIDDLE,California,26.35,27.85,,24.82,24.74,,62637001967
2409,DIABLO VISTA ELEMENTARY,California,22,23.4,,28.23,26.79,,60285008454
2410,DIABLO VISTA MIDDLE,California,33.18,33.72,,24.98,25.24,,63513008460
2411,DIAMOND BAR HIGH,California,113.51,111.77,,26.69,27.23,,64128007894
2412,DIAMOND CREEK ELEMENTARY,California,24,26.5,,26.13,24.83,,63360008760
2413,DIAMOND ELEMENTARY,California,19,24,,30.63,24.63,,63531005983
2414,DIAMOND MOUNTAIN CHARTER HIGH,California,2.16,2.79,,26.39,21.51,,62106010821
2415,DIAMOND POINT ELEMENTARY,California,15,17.5,,23.27,20.57,,63132004838
2416,DIAMOND RANCH HIGH,California,72,70.5,,25.97,27.19,,63132007136
2417,DIAMOND VALLEY ELEMENTARY,California,7,7,,14.43,13.43,,60207000090
2418,DIAMOND VALLEY MIDDLE,California,41.5,43.23,,27.08,27.06,,61692011019
2419,DIAMOND VIEW MIDDLE,California,13.04,13.5,,24.08,25.63,,63855006471
2420,DIANE S. LEICHMAN SPECIAL EDUCATION CENTER,California,20.5,20.03,,10.39,10.33,,62271008886
2421,DICKENS (BILLY JOE) HIGH (CONTINUATION),California,1,1,,25,34,,60006004164
2422,DICKISON ELEMENTARY,California,39.5,40,,21.67,20.88,,60962000977
2423,DICKSON ELEMENTARY,California,23.25,26.83,,27.83,27.17,,60846000837
2424,DIEGO HILLS CHARTER,California,20.3,15.1,,29.26,37.15,,61071012509
2425,DIEGO VALLEY CHARTER,California,11.63,5.3,,20.21,18.87,,61914012880
2426,DIEGUENO MIDDLE,California,32.2,31.2,,25.34,26.03,,63438008186
2427,DINGEMAN ELEMENTARY,California,39,35,,21.9,23.83,,63432005330
2428,DINGLE ELEMENTARY,California,18.21,20.9,,22.3,22.87,,64308006999
2429,DINUBA HIGH,California,86.99,83,,21.08,21.99,,60006501242
2430,DISCOVERY,California,30,25,,32.2,33.24,,62088012829
2431,DISCOVERY BAY ELEMENTARY,California,19,19,,25.95,26.84,,60675007653
2432,DISCOVERY CHARTER,California,40,38.55,,21.33,21.27,,60861002633
2433,DISCOVERY CHARTER,California,14,14,,26.71,27.14,,60004710393
2434,DISCOVERY CHARTER,California,23.64,26.39,,23.94,21.6,,69103511792
2435,DISCOVERY CHARTER II,California,,,,,,,69103513640
2436,DISCOVERY CHARTER PREPARATORY NO. 2,California,17.6,19,,19.77,18.42,,62271011889
2437,DISCOVERY ELEMENTARY,California,37.1,38.25,,23.48,23.01,,61470010222
2438,DISCOVERY ELEMENTARY,California,36.97,35.4,,28,27.88,,63488007353
2439,DISCOVERY HIGH,California,9,7,,15.44,20.86,,60003606335
2440,DISCOVERY HIGH,California,1.5,1,,16.67,10,,64341007904
2441,DISCOVERY SCHOOL OF THE ARTS,California,31,30,,31.97,32.17,,64104008586
2442,DISCOVERY SECONDARY,California,1,1,,13,7,,69101708731
2443,DISTRICT SPECIAL EDUCATION,California,18.62,25.33,,2.15,1.03,,63801008991
2444,DIVIDE HIGH,California,1,2,,24,11,,60524007650
2445,DIVISADERO MIDDLE,California,37.04,36.71,,25.54,25.22,,64116006788
2446,DIVISION OF UNACCOMPANIED CHILDREN'S SERVICES (DUC,California,1,2,,11,8,,69112212709
2447,DIXIE CANYON COMMUNITY CHARTER,California,27.5,27.01,,24.55,24.55,,62271002959
2448,DIXIE ELEMENTARY,California,17,18,,22.65,20.33,,61122001244
2449,DIXIELAND ELEMENTARY,California,10.2,11,,27.84,26.73,,62334003544
2450,DIXON COMMUNITY DAY,California,1,1,,8,16,,61128011236
2451,DIXON HIGH,California,51.8,54.4,,22.45,21.21,,61128001251
2452,DIXON MONTESSORI CHARTER,California,14.5,15,,24.97,19.13,,60134011473
2453,DOÃ±A MERCED ELEMENTARY,California,21,19,ï¿½,27.52,29.26,ï¿½,60795000763
2454,DOBBINS ELEMENTARY,California,3.4,3.8,,16.18,17.11,,62409003625
2455,DOLORES HUERTA ELEMENTARY,California,14.72,17.63,,37.84,29.27,,63801010392
2456,DOLORES HUERTA ELEMENTARY,California,24.4,24.5,,23.4,23.47,,62142011299
2457,DOLORES HUERTA ELEMENTARY,California,18,17.01,,24.78,24.81,,62271012688
2458,DOLORES STREET ELEMENTARY,California,24,25,,25.13,24.52,,62271002962
2459,DOMINGUEZ ELEMENTARY,California,25.33,26,,24.04,23.77,,62271002963
2460,DOMINGUEZ HIGH,California,89.35,90,,25.36,26.5,,60962000978
2461,DON ANTONIO LUGO HIGH,California,86.2,88.31,,23.19,24.79,,60846000838
2462,DON BENITO FUNDAMENTAL,California,24,26,,26.58,25.96,,62994004665
2463,DON CALLEJON,California,36.1,35,,26.2,26.43,,63543011797
2464,DON JUAN AVILA ELEMENTARY,California,24.68,26.4,,30.88,29.2,,60744008537
2465,DON JUAN AVILA MIDDLE,California,41.8,43.9,,28.71,27.29,,60744008538
2466,DON JULIAN ELEMENTARY,California,24,24.5,,23.04,22.53,,60411007263
2467,DON PEDRO COMMUNITY DAY,California,,,,,,,69113711828
2468,DON PEDRO ELEMENTARY,California,21,21,,25.29,24.1,,60813000786
2469,DON PEDRO HIGH,California,3.5,3.5,,8.86,6.29,,69113710340
2470,DON RIGGIO,California,27.9,29.8,,26.16,23.62,,62169008876
2471,DON STOWELL ELEMENTARY,California,21,23,,23.43,24.48,,62460007539
2472,DONALD D. LUM ELEMENTARY,California,23,21.7,,21.7,21.57,,60177000051
2473,DONALD E. SUBURU,California,29,35.75,,25.34,20.14,,62073007505
2474,DONALD F. BRADACH ELEMENTARY,California,24,23,,27.38,29.26,,60171007613
2475,DONALD GRAHAM ELEMENTARY,California,22,24.5,,23.5,23.18,,60002702452
2476,DONALD J. MEYER ELEMENTARY,California,26.72,27.08,,18.34,18.76,,60231000113
2477,DONALD L. RHEEM ELEMENTARY,California,17,16,,23.71,23.81,,62574003850
2478,DONALD S. JORDAN INTERMEDIATE,California,22.84,22.85,,32.22,29.15,,61488001853
2479,DONALDSON WAY ELEMENTARY,California,20,19,,28.4,29.37,,62664004017
2480,DONLON ELEMENTARY,California,32.58,36.07,,24.89,22.12,,60002009283
2481,DONN B. CHENOWETH ELEMENTARY,California,31,29,,25.23,25.07,,62460003688
2482,DONNER TRAIL ELEMENTARY,California,3,3,,19,23,,63877006512
2483,DOOL ELEMENTARY,California,23,24.7,,28.52,33.97,,60690000636
2484,DOOLEY ELEMENTARY,California,38,40,,29.13,27.93,,62250012153
2485,DORIS TOPSY-ELVORD ACADEMY,California,5,,,22.2,,,60133312363
2486,DOROTHY GRANT ELEMENTARY,California,24.67,22.58,,26.79,28.12,,61392011097
2487,DOROTHY MCELHINNEY MIDDLE,California,42.51,38,,28.72,28.45,,60002912243
2488,DOROTHY V. JOHNSON COMMUNITY DAY,California,4.5,4.01,,19.11,16.21,,62271012482
2489,DORRIS PLACE ELEMENTARY,California,12,11,,25.75,27.55,,62271002964
2490,DOS CAMINOS,California,8,4,,29.75,30,,62958012870
2491,DOS CAMINOS ELEMENTARY,California,16.29,18.24,,20.99,20.01,,63099004797
2492,DOS PALOS ADULT,California,,,,,,,60003312608
2493,DOS PALOS CARVER CENTER,California,,,,,,,60003313609
2494,DOS PALOS ELEMENTARY,California,20,20,,27.45,27.9,,60003301256
2495,DOS PALOS HIGH,California,23.7,22,,26.71,30.5,,60003301258
2496,DOS PUEBLOS CHARGER ACADEMY,California,,,,,,,63537008983
2497,DOS PUEBLOS CHARGER ACADEMY,California,,,,,,,60141408983
2498,DOS PUEBLOS SENIOR HIGH,California,88,91.97,,24.89,24.73,,60141406017
2499,DOS PUEBLOS SENIOR HIGH,California,,,,,,,63537006017
2500,DOTY MIDDLE,California,54.65,55,,26.31,25.31,,61146001265
2501,DOUGHERTY VALLEY HIGH,California,90.5,82,,24.45,24.95,,63513011990
2502,DOUGLAS,California,2,1,,3.5,6,,62523009403
2503,DOUGLAS CITY ELEMENTARY,California,8.47,7.24,,19.48,18.23,,61143001259
2504,DOUGLAS J. MILLER ELEMENTARY,California,26.93,24.29,,29.97,31.29,,60639012414
2505,DOUGLAS MACARTHUR FUNDAMENTAL INTERMEDIATE,California,41.67,44,,30.53,29.25,,63531007862
2506,DOUGLASS MIDDLE,California,39.54,38.57,,21.88,22.22,,64308007901
2507,DOVE HILL ELEMENTARY,California,22.4,24.75,,25.71,24,,61314009366
2508,DOVER BRIDGE TO SUCCESS,California,6,5.3,,16.33,15.66,,61336012909
2509,DOVER ELEMENTARY,California,27,28,,28.63,25.21,,63255005020
2510,DOWNEY HIGH,California,157.08,155.5,,27.58,27.36,,61146001264
2511,DOWNIEVILLE ELEMENTARY,California,2,2,,14,14.5,,63678006226
2512,DOWNIEVILLE JUNIOR-SENIOR HIGH,California,3.35,4.75,,7.16,5.68,,63678006227
2513,DOWNTOWN BUSINESS HIGH,California,37.5,41.54,,27.92,25.32,,62271007757
2514,DOWNTOWN COLLEGE PREP - ALUM ROCK,California,7,7,,37.86,25.71,,69103512827
2515,DOWNTOWN COLLEGE PREP ALVISO,California,,,,,,,63543012279
2516,DOWNTOWN COLLEGE PREPARATORY,California,20,20,,19.95,19.85,,63459008632
2517,DOWNTOWN ELEMENTARY,California,14.2,13.2,,21.83,22.27,,60363007101
2518,DOWNTOWN HIGH,California,12.4,14.25,,20.32,17.75,,63441005602
2519,DOWNTOWN VALUE,California,19,18,,23.63,24.61,,62271010522
2520,DOWS PRAIRIE ELEMENTARY,California,20,18.48,,22.75,24.08,,62430003650
2521,DOYLE ELEMENTARY,California,36.6,35.2,,22.65,22.24,,63432005448
2522,DOZIER-LIBBEY MEDICAL HIGH,California,27.43,27.8,,23.3,22.59,,60285012278
2523,DR. AUGUSTINE RAMIREZ INTERMEDIATE,California,40.01,37,,25.82,21.89,,60985012824
2524,DR. BERNICE JAMESON TODD ELEMENTARY,California,30,28,,27,27.14,,60985011861
2525,DR. DOUG SEARS LEARNING CENTER,California,4,4.2,,11.75,12.38,,63898002195
2526,DR. J. MICHAEL MCGRATH ELEMENTARY,California,28.5,27.5,,25.86,25.64,,62718011317
2527,DR. JAMES EDWARD JONES PRIMARY CENTER,California,6,8,,22.83,22,,62271012223
2528,DR. JULIAN NAVA LRNG ACADS-SCH OF ARTS AND CULTURE,California,15.75,17.11,,30.41,21.39,,62271012881
2529,DR. JULIAN NAVA LRNG ACADS-SCH OF BUSINESS AND TEC,California,15.75,14.08,,28.38,26.14,,62271012896
2530,DR. JULIET THORNER ELEMENTARY,California,41.4,42.23,,22.46,21.12,,60363009714
2531,DR. LAWRENCE H. MOORE MATH SCIENCE TECHNOLOGY AC,California,30.5,,,24.69,,,62271013082
2532,DR. LEWIS DOLPHIN STALLWORTH SR. CHARTER,California,10,11,,17.2,13.55,,63801012374
2533,DR. MARTIN LUTHER KING JR. ACADEMY,California,17,14,,30.24,31.5,,60195010559
2534,DR. MILDRED DALTON HENRY ELEMENTARY,California,,,,,,,63417013080
2535,DR. OWEN LLOYD KNOX ELEMENTARY,California,36,34,,24.89,24.71,,62271012627
2536,DR. REYNALDO J. CARREON JR. ACADEMY,California,29,30,,24.1,25.77,,61111011244
2537,DR. T. J. OWENS GILROY EARLY COLLEGE ACADEMY,California,8.5,8,,26.24,31,,61518012174
2538,DR. THEO. T. ALEXANDER JR. SCIENCE CENTER,California,25.5,24.51,,25.02,26.19,,62271010839
2539,DR. WALTER C. RALSTON INTERMEDIATE,California,22.31,22.21,,29.09,29.31,,61488001856
2540,DREW (CHARLES) COLLEGE PREPARATORY ACADEMY,California,14.9,18,,19.06,15.28,,63441008191
2541,DRIFFILL ELEMENTARY,California,33,31,,29.67,30.58,,62922004502
2542,DRY CREEK ELEMENTARY,California,27,29,,29.37,27.17,,60903000908
2543,DRY CREEK ELEMENTARY,California,15,15,,26.2,27.27,,60133205095
2544,DRY CREEK ELEMENTARY,California,19.5,21.4,,23.9,23.41,,61149001281
2545,DUARTE HIGH,California,42.9,40.5,,25.78,29.63,,61152001284
2546,DUBLIN ELEMENTARY,California,27.25,25.95,,22.5,21.85,,60001906929
2547,DUBLIN HIGH,California,72.3,67.6,,24.33,24.45,,60001909273
2548,DUCOR UNION ELEMENTARY,California,9,10,,19.89,19.8,,61155001290
2549,DUNBAR ELEMENTARY,California,9.6,10.52,,26.25,23.48,,63720006299
2550,DUNCAN-RUSSELL CONTINUATION,California,1,1,,37,39,,60004707379
2551,DUNHAM CHARTER,California,9.04,9.57,,18.69,16.72,,61161012748
2552,DUNHAM ELEMENTARY,California,1.27,1.43,,6.3,13.99,,61161001291
2553,DUNLAP ELEMENTARY,California,19,21,,22.16,20.14,,64356007043
2554,DUNLAP ELEMENTARY,California,15.6,15.4,,22.95,24.16,,61970002365
2555,DUNLAP LEADERSHIP ACADEMY,California,1,1,,61,49,,61970012321
2556,DUNN ELEMENTARY,California,26.7,26.01,,26.7,25.99,,63237004989
2557,DUNSMORE ELEMENTARY,California,14.5,16,,26.28,25.19,,61524001925
2558,DUNSMUIR ELEMENTARY,California,8,8,,16,17.25,,61167001292
2559,DUNSMUIR HIGH,California,6.35,7.85,,13.07,10.57,,61170001294
2560,DUNSMUIR JOINT UNION HIGH COMMUNITY DAY,California,1,,,4,,,61170007828
2561,DURFEE ELEMENTARY,California,42,44,,26.21,24.95,,61209001349
2562,DURFEE ELEMENTARY,California,19,21,,24.42,24.05,,61218001371
2563,DURHAM ELEMENTARY,California,22.9,21.9,,19.04,19,,61173001295
2564,DURHAM HIGH,California,18.7,17.8,,17.43,20.11,,61173001296
2565,DURHAM INTERMEDIATE,California,12.2,11.3,,18.77,22.04,,61173008824
2566,DUVENECK ELEMENTARY,California,25.65,25.13,,19.96,19.98,,62961004586
2567,DWIGHT D. EISENHOWER ELEMENTARY,California,31,31.26,,24.32,23.74,,61029001132
2568,DWIGHT D. EISENHOWER ELEMENTARY,California,36,37,,25.06,25.59,,60985011014
2569,DWIGHT D. EISENHOWER ELEMENTARY,California,21.25,21.25,,25.6,25.74,,61488001838
2570,DWIGHT EISENHOWER ELEMENTARY,California,27,27,,17.67,18,,61111001224
2571,DYER STREET ELEMENTARY,California,31,32,,25.16,24.22,,62271002968
2572,DYER-KELLY ELEMENTARY,California,17.02,18.5,,23.85,19.89,,63462005774
2573,E. A. HALL MIDDLE,California,24,30.5,,23.33,18.82,,62949004540
2574,E. G. GARRISON ELEMENTARY,California,18.75,21.3,,25.87,21.27,,62825004359
2575,E. HALE CURRAN ELEMENTARY,California,21,28.8,,28.81,20.35,,60002909510
2576,E. J. MARSHALL ELEMENTARY,California,23,26.03,,26.78,23.9,,60846000844
2577,E. L. MUSICK ELEMENTARY,California,15.64,14.33,,21.87,22.26,,62706004087
2578,E. LOS ANGELES PERF ARTS ACAD AT ESTEBAN E. TORRES,California,21.25,22.03,,22.96,23.06,,62271012787
2579,E. LOS ANGELES RENAISS ACAD AT ESTEBAN E. TORRES H,California,17.5,19.01,,25.31,24.83,,62271012657
2580,E. M. GRIMMER ELEMENTARY,California,19.4,18.9,,18.51,21.22,,61440001666
2581,E. NEAL ROBERTS ELEMENTARY,California,28,35,,21.21,20.11,,63417010303
2582,E. O. GREEN JUNIOR HIGH,California,40.6,40.6,,25.54,25.91,,61785002199
2583,E. P. FOSTER ELEMENTARY,California,20,21.2,,25.35,24.01,,64098006751
2584,E. RUTH SHELDON ACADEMY OF INNOVATIVE LEARNING,California,19,18.4,,28.74,30.05,,61336001527
2585,E3 CIVIC HIGH,California,,,,,,,63432013288
2586,EAGLE CANYON ELEMENTARY,California,21.1,20.34,,27.06,28.07,,60846009125
2587,EAGLE CANYON HIGH,California,1,1.1,,10,8.18,,63900002780
2588,EAGLE CREEK,California,,,,,,,60897011806
2589,EAGLE MOUNTAIN ELEMENTARY,California,1,,,15,,,61110001221
2590,EAGLE PEAK MIDDLE,California,20.4,19.8,,19.26,22.37,,64030007172
2591,EAGLE PEAK MONTESSORI,California,10.2,11,,18.82,16.82,,62637008688
2592,EAGLE PRAIRIE ELEMENTARY,California,10.5,10.5,,19.81,22.29,,63273005086
2593,EAGLE RANCH,California,29,30,,29.31,29.13,,60171009690
2594,EAGLE ROCK ELEMENTARY,California,35,36,,23.77,25.11,,62271002969
2595,EAGLE ROCK HIGH,California,95.35,101.09,,27.43,26.26,,62271002970
2596,EAGLE SUMMIT COMMUNITY DAY,California,4.09,3.88,,9.05,13.92,,63697010370
2597,EAGLE TREE CONTINUATION,California,4.5,3.01,,35.33,43.52,,62271002971
2598,EARL E. EDMONDSON ELEMENTARY,California,21,21.5,,25.38,24.98,,62769004161
2599,EARL F. JOHNSON HIGH (CONTINUATION),California,6.93,9.85,,27.99,22.03,,61650002086
2600,EARL LEGETTE ELEMENTARY,California,19.29,21.3,,30.64,27.42,,63462005792
2601,EARL WARREN ELEMENTARY,California,16,17.5,,30.81,29.94,,63384005236
2602,EARL WARREN ELEMENTARY,California,35,35.2,,25.26,24.4,,60002712001
2603,EARL WARREN ELEMENTARY,California,21,21,,24.14,24.1,,61488001887
2604,EARL WARREN JUNIOR HIGH,California,35.31,31.28,,26.08,27.56,,60639003104
2605,EARL WARREN MIDDLE,California,27.4,27.4,,25.36,25.58,,63438005575
2606,EARLE E. WILLIAMS MIDDLE,California,51.33,53.8,,22.01,22.14,,60004707399
2607,EARLIMART COMMUNITY DAY,California,0.7,0.7,,14.29,7.14,,61176011367
2608,EARLIMART ELEMENTARY,California,27.1,30,,24.1,21.27,,61176001297
2609,EARLIMART MIDDLE,California,26.2,28.2,,21.15,20.35,,61176001298
2610,EARLY CHILDHOOD EDUCATION,California,,,,,,,62088012836
2611,EARLY CHILDHOOD LEARNING CENTER,California,,,,,,,68450012137
2612,EARLY COLLEGE ACADEMY-LA TRADE TECH COLLEGE,California,,,,,,,62271013434
2613,EARLY COLLEGE HIGH,California,10.57,11,,25.35,21.55,,62724011702
2614,EARLY LEARNING PROGRAM,California,,,,,,,61218012841
2615,EAST AVENUE ELEMENTARY,California,18.9,19.65,,31.16,27.07,,61674002109
2616,EAST AVENUE MIDDLE,California,24.67,25.67,,23.88,24.31,,62211002623
2617,EAST BAKERSFIELD HIGH,California,92.77,87.89,,23.36,25.55,,61954002343
2618,EAST BAY ARTS HIGH,California,11.42,13.53,,25.48,23.28,,63471011567
2619,EAST BAY REGIONAL OCCUPATION CENTER/AGENCY (ROC/P),California,,,,,,,60008810734
2620,EAST COTTONWOOD ELEMENTARY,California,,13,,,25.92,,60999001085
2621,EAST COUNTY ACADEMY OF LEARNING,California,3.2,3.5,,7.19,10.57,,62079011230
2622,EAST COUNTY ELEMENTARY SPECIAL EDUCATION,California,18,19,,6.28,6.16,,69100510750
2623,EAST HERITAGE ELEMENTARY,California,21.4,25,,28.55,25.64,,61296003846
2624,EAST HIGH (CONTINUATION),California,4,4,,17.25,18.5,,61419001619
2625,EAST HILLS ACADEMY,California,10,9.2,,7.3,7.28,,63864012173
2626,EAST LAKE,California,9.5,11.2,,23.16,20,,62007002400
2627,EAST LOS ANGELES COMMUNITY DAY,California,23,22,,11.61,11.59,,69107808006
2628,EAST NICOLAUS HIGH,California,17.6,17.5,,19.09,18.57,,61178001299
2629,EAST OAKLAND LEADERSHIP ACADEMY,California,8,7,,16,16.29,,62805011338
2630,EAST OAKLAND LEADERSHIP ACADEMY HIGH,California,4,4,,13.75,15,,62805012052
2631,EAST OAKLAND PRIDE ELEMENTARY,California,19,22,,24.84,19.95,,62805012059
2632,EAST OAKLAND SCHOOL OF THE ARTS,California,,10.36,,,17.86,,62805010550
2633,EAST PALO ALTO ACADEMY,California,17.57,,,13.83,,,63639011431
2634,EAST REGION COMMUNITY,California,,,,,,,69103012062
2635,EAST REGION COMMUNITY SCHOOL OF GREATER EL CAJON,California,6,8,,18,16,,69103012912
2636,EAST REGION COMMUNITY SCHOOL OF GREATER LA MESA,California,5,8,,25,16.38,,69103012873
2637,EAST REGION COURT,California,4,4,,15,15,,69103012148
2638,EAST SAN GABRIEL VALLEY ROP,California,,,,,,,60010510918
2639,EAST STANISLAUS HIGH,California,4.05,4.05,,20.99,20.99,,60006210697
2640,EAST UNION HIGH,California,66.06,65.02,,23.25,22.52,,62361003577
2641,EAST VALLEY COMMUNITY DAY,California,10,10,,16.4,14.8,,69102908286
2642,EAST VALLEY COMMUNITY DAY 6-8 MIDDLE,California,,,,,,,60522010416
2643,EAST VALLEY COMMUNITY DAY K-6 ELEMENTARY,California,,,,,,,60522010415
2644,EAST VALLEY SENIOR HIGH,California,41.5,40.04,,22.05,25.07,,62271011651
2645,EAST WHITTIER MIDDLE,California,51.88,49.62,,24.48,23.44,,61185001312
2646,EASTBLUFF ELEMENTARY,California,20.28,19.6,,19.67,18.98,,62724008244
2647,EASTERBROOK DISCOVERY,California,46.33,43,,20.14,20.58,,62577003854
2648,EASTERBY ELEMENTARY,California,24,23.01,,28.67,27.86,,61455001721
2649,EASTERN COMMUNITY DAY,California,,1,,,,,69107808007
2650,EASTIN-ARCOLA HIGH,California,14.4,16,,16.32,13.94,,62334012807
2651,EASTLAKE ELEMENTARY,California,29,29,,20.83,20.38,,60861009529
2652,EASTLAKE HIGH,California,104.34,95.52,,28.99,28.18,,63864001223
2653,EASTLAKE MIDDLE,California,63.6,60.02,,26.98,26.24,,63864011269
