,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
170,ALEXANDER FLEMING MIDDLE,California,60,67,,26.05,25.06,,62271003011
171,ALEXANDER HAMILTON ELEMENTARY,California,25.28,31.17,,33.23,27.53,,63801011783
172,ALEXANDER HAMILTON SENIOR HIGH,California,122.34,123.15,,24.91,24.32,,62271003064
173,ALEXANDER ROSE ELEMENTARY,California,18,16,,26.22,27.69,,62450003672
174,ALEXANDER VALLEY ELEMENTARY,California,8.82,9.92,,12.93,13.21,,60189000064
175,ALEXANDRIA AVENUE ELEMENTARY,California,30,32,,23.73,24.81,,62271002805
176,ALFRED B. NOBEL CHARTER MIDDLE,California,77.83,81.19,,32.02,29.89,,62271003225
177,ALFRED S. MADRID MIDDLE,California,38.2,38.75,,22.96,23.15,,62619000454
178,ALHAMBRA HIGH,California,101.72,109.6,,27.34,26.39,,60015310929
179,ALHAMBRA SENIOR HIGH,California,56.6,56,,22.01,23.18,,62403003612
180,ALIANZA CHARTER,California,28,27,,23.29,23.44,,62949004554
181,ALICANTE AVENUE ELEMENTARY,California,44,42.25,,27.05,27.31,,62085002501
182,ALICE BIRNEY ELEMENTARY,California,22.4,21.4,,20.49,22.1,,60005201475
183,ALICE BIRNEY ELEMENTARY,California,34,33,,22.85,23.76,,60939007687
184,ALICE BIRNEY WALDORF-INSPIRED,California,18,16.4,,30.56,29.63,,63384007242
185,ALICE C. STELLE MIDDLE,California,31.91,34.3,,26.04,25.34,,62100011298
186,ALICE M. BIRNEY ELEMENTARY,California,19,22.5,,26.16,23.78,,61218001369
187,ALICE M. ELLINGTON ELEMENTARY,California,15,16,,23.4,22.81,,60360000271
188,ALICE N. STROUD ELEMENTARY,California,18.02,16.8,,24.75,24.82,,61269004134
189,ALICE SHAW ELEMENTARY,California,24,23.45,,27.13,26.52,,62871004468
190,ALICIA CORTEZ ELEMENTARY,California,29.95,28.5,,26.44,28.67,,60846000836
191,ALICIA REYES ELEMENTARY,California,22,23,,24.86,25.22,,62460009581
