School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year
HELEN M. WILCOX ELEMENTARY,California,CA ,Helen M. Wilcox Elementary,62954004556
HELEN STACEY MIDDLE,California,CA ,Helen Stacey Middle,64215006903
HELENDALE ELEMENTARY,California,CA ,Helendale Elementary,61686002146
HELIOTROPE AVENUE ELEMENTARY,California,CA ,Heliotrope Avenue Elementary,62271003078
HELIX HIGH,California,CA ,Helix High,61623002023
HELM ELEMENTARY,California,CA ,Helm Elementary,69113410216
HELMS MIDDLE,California,CA ,Helms Middle,63255005034
HEMET HIGH,California,CA ,Hemet High,61692002154
HEMLOCK ELEMENTARY,California,CA ,Hemlock Elementary,61392002600
HEMLOCK ELEMENTARY,California,CA ,Hemlock Elementary,64059006702
HEMMERLING ELEMENTARY,California,CA ,Hemmerling Elementary,60384000350
HENDERSON COMMUNITY DAY,California,CA ,Henderson Community Day,62223008321
HENDERSON ELEMENTARY,California,CA ,Henderson Elementary,60402000360
HENDRICK RANCH ELEMENTARY,California,CA ,Hendrick Ranch Elementary,62580009587
HENRY (PATRICK) ELEMENTARY,California,CA ,Henry (Patrick) Elementary,60261000153
HENRY DALTON ELEMENTARY,California,CA ,Henry Dalton Elementary,60360000270
HENRY DAVID THOREAU CONTINUATION,California,CA ,Henry David Thoreau Continuation,62271003398
HENRY EISSLER ELEMENTARY,California,CA ,Henry Eissler Elementary,60363000296
HENRY ELEMENTARY,California,CA ,Henry Elementary,63237007829
HENRY F. BISHOP ELEMENTARY,California,CA ,Henry F. Bishop Elementary,60912010206
HENRY F. KAMMANN ELEMENTARY,California,CA ,Henry F. Kammann Elementary,63393005321
HENRY FORD ELEMENTARY,California,CA ,Henry Ford Elementary,63213004967
HENRY HAIGHT ELEMENTARY,California,CA ,Henry Haight Elementary,60177000047
HENRY HIGH,California,CA ,Henry High,63432005479
HENRY J. KAISER HIGH,California,CA ,Henry J. Kaiser High,61392008290
HENRY K-8,California,CA ,Henry K-8,62250002721
HENRY M. GUNN HIGH,California,CA ,Henry M. Gunn High,62961004587
HENRY MILLER ELEMENTARY,California,CA ,Henry Miller Elementary,62274003479
HENRY P. MOHR ELEMENTARY,California,CA ,Henry P. Mohr Elementary,60002006951
HENRY T. GAGE MIDDLE,California,CA ,Henry T. Gage Middle,62271003030
HERBERT C. GREEN MIDDLE,California,CA ,Herbert C. Green Middle,62598003897
HERBERT H. CRUICKSHANK MIDDLE,California,CA ,Herbert H. Cruickshank Middle,62460003307
HERBERT HOOVER ELEMENTARY,California,CA ,Herbert Hoover Elementary,61111001225
HERBERT HOOVER ELEMENTARY,California,CA ,Herbert Hoover Elementary,62961004581
HERBERT HOOVER HIGH,California,CA ,Herbert Hoover High,61524001933
HERBERT HOOVER HIGH,California,CA ,Herbert Hoover High,61455001737
HERBERT HOOVER MIDDLE,California,CA ,Herbert Hoover Middle,62460003690
HERBERT HOOVER MIDDLE,California,CA ,Herbert Hoover Middle,63459005720
HERBERT SLATER MIDDLE,California,CA ,Herbert Slater Middle,63583006121
HERCULES HIGH,California,CA ,Hercules High,63255008691
HERCULES MIDDLE,California,CA ,Hercules Middle,63255010757
HERITAGE,California,CA ,Heritage,63697005069
HERITAGE CCCOE SPECIAL EDUCATION PROGRAMS,California,CA ,Heritage CCCOE Special Education Programs,69100512255
HERITAGE COMMUNITY DAY,California,CA ,Heritage Community Day,63918010470
HERITAGE DIGITAL ACADEMY CHARTER MIDDLE,California,CA ,Heritage Digital Academy Charter Middle,61288013679
HERITAGE ELEMENTARY,California,CA ,Heritage Elementary,61488001849
HERITAGE ELEMENTARY,California,CA ,Heritage Elementary,63987007469
HERITAGE ELEMENTARY,California,CA ,Heritage Elementary,62223002649
HERITAGE ELEMENTARY,California,CA ,Heritage Elementary,60861010376
HERITAGE HIGH,California,CA ,Heritage High,62160010755
HERITAGE HIGH,California,CA ,Heritage High,63021011848
HERITAGE INTERMEDIATE,California,CA ,Heritage Intermediate,61296010610
HERITAGE K-8 CHARTER,California,CA ,Heritage K-8 Charter,61288011228
HERITAGE OAK ELEMENTARY,California,CA ,Heritage Oak Elementary,61149009791
HERITAGE PEAK CHARTER,California,CA ,Heritage Peak Charter,60133211073
HERITAGE VALLEY INDEPENDENT STUDY,California,CA ,Heritage Valley Independent Study,61380012893
HERK BOURIS ELEMENTARY,California,CA ,Herk Bouris Elementary,62454013172
HERLONG HIGH,California,CA ,Herlong High,60001109065
HERMAN (LEONARD) INTERMEDIATE,California,CA ,Herman (Leonard) Intermediate,62781004216
HERMAN LEIMBACH ELEMENTARY,California,CA ,Herman Leimbach Elementary,61233001404
HERMOSA DRIVE ELEMENTARY,California,CA ,Hermosa Drive Elementary,61473001794
HERMOSA ELEMENTARY,California,CA ,Hermosa Elementary,60216008114
HERMOSA VALLEY ELEMENTARY,California,CA ,Hermosa Valley Elementary,61704002162
HERMOSA VIEW ELEMENTARY,California,CA ,Hermosa View Elementary,61704002103
HERNDON-BARSTOW ELEMENTARY,California,CA ,Herndon-Barstow Elementary,60797007668
HEROES ELEMENTARY,California,CA ,Heroes Elementary,63531012200
HERON,California,CA ,Heron,60003611734
HERRICK AVENUE ELEMENTARY,California,CA ,Herrick Avenue Elementary,62271003080
HESBY OAKS LEADERSHIP CHARTER,California,CA ,Hesby Oaks Leadership Charter,62271011654
HESPERIA COMMUNITY DAY,California,CA ,Hesperia Community Day,60001408296
HESPERIA HIGH,California,CA ,Hesperia High,60001409072
HESPERIA JUNIOR HIGH,California,CA ,Hesperia Junior High,60001409077
HESPERIAN ELEMENTARY,California,CA ,Hesperian Elementary,63471005852
HEWES MIDDLE,California,CA ,Hewes Middle,64015006640
HICKMAN CHARTER,California,CA ,Hickman Charter,61716005507
HICKMAN ELEMENTARY,California,CA ,Hickman Elementary,61716002171
HICKMAN ELEMENTARY,California,CA ,Hickman Elementary,63432005480
HICKMAN MIDDLE,California,CA ,Hickman Middle,61716008411
HICKORY ELEMENTARY,California,CA ,Hickory Elementary,63942006559
HICKS CANYON ELEMENTARY,California,CA ,Hicks Canyon Elementary,64015010995
HIDDEN HILLS ELEMENTARY,California,CA ,Hidden Hills Elementary,60744003367
HIDDEN HILLS ELEMENTARY,California,CA ,Hidden Hills Elementary,63513010758
HIDDEN SPRINGS ELEMENTARY,California,CA ,Hidden Springs Elementary,62580009588
HIDDEN TRAILS ELEMENTARY,California,CA ,Hidden Trails Elementary,60846005036
HIDDEN VALLEY ELEMENTARY,California,CA ,Hidden Valley Elementary,62637003950
HIDDEN VALLEY ELEMENTARY,California,CA ,Hidden Valley Elementary,60000612911
HIDDEN VALLEY ELEMENTARY SATELLITE,California,CA ,Hidden Valley Elementary,63581006122
HIDDEN VALLEY MIDDLE,California,CA ,Hidden Valley Middle,61288001457
HIGH DESERT,California,CA ,High Desert,60000109444
HIGH DESERT COMMUNITY DAY,California,CA ,High Desert Community Day,62519008526
HIGH DESERT JUVENILE DETENTION AND ASSESSMENT CENT,California,CA ,High Desert Juvenile Detention and Assessment Center,69102912618
HIGH DESERT PREMIER ACADEMY,California,CA ,High Desert Premier Academy,60001708588
HIGH TECH ELEMENTARY CHULA VISTA,California,CA ,High Tech Elementary Chula Vista,60132212726
HIGH TECH ELEMENTARY NORTH COUNTY,California,CA ,High Tech Elementary North County,60132213517
HIGH TECH ELEMENTARY POINT LOMA,CALIFORNIA,CA ,High Tech Elementary Point Loma,63432013878
HIGH TECH HIGH,California,CA ,High Tech High,63432008599
HIGH TECH HIGH CHULA VISTA,California,CA ,High Tech High Chula Vista,60132212083
HIGH TECH HIGH INTERNATIONAL,California,CA ,High Tech High International,63432011138
HIGH TECH HIGH MEDIA ARTS,California,CA ,High Tech High Media Arts,63432011386
HIGH TECH HIGH NORTH COUNTY,California,CA ,High Tech High North County,60132212064
HIGH TECH LA,California,CA ,High Tech LA,62271010829
HIGH TECH MIDDLE,California,CA ,High Tech Middle,63432011262
HIGH TECH MIDDLE CHULA VISTA,California,CA ,High Tech Middle Chula Vista,60132212642
HIGH TECH MIDDLE MEDIA ARTS,California,CA ,High Tech Middle Media Arts,63432011155
HIGH TECH MIDDLE NORTH COUNTY,California,CA ,High Tech Middle North County,60132212388
HIGHER LEARNING ACADEMY,California,CA ,Higher Learning Academy,60133211916
HIGHGROVE ELEMENTARY,California,CA ,Highgrove Elementary,63315005142
HIGHLAND,CALIFORNIA,CA ,Highland,61674013823
HIGHLAND ACADEMY,California,CA ,Highland Academy,60429013150
HIGHLAND ELEMENTARY,California,CA ,Highland Elementary,63315005143
HIGHLAND ELEMENTARY,California,CA ,Highland Elementary,62553003828
HIGHLAND ELEMENTARY,California,CA ,Highland Elementary,63255010022
HIGHLAND ELEMENTARY,California,CA ,Highland Elementary,64116006795
HIGHLAND ELEMENTARY,California,CA ,Highland Elementary,64074006728
HIGHLAND ELEMENTARY,California,CA ,Highland Elementary,61839002251
HIGHLAND ELEMENTARY,California,CA ,Highland Elementary,63789006389
HIGHLAND ELEMENTARY,California,CA ,Highland Elementary,60985001054
HIGHLAND GROVE ELEMENTARY,California,CA ,Highland Grove Elementary,63207011102
HIGHLAND HIGH,California,CA ,Highland High,61954002345
HIGHLAND HIGH,California,CA ,Highland High,60282009515
HIGHLAND OAKS ELEMENTARY,California,CA ,Highland Oaks Elementary,60297000230
HIGHLAND PACIFIC ELEMENTARY,California,CA ,Highland Pacific Elementary,63417008959
HIGHLAND PARK CONTINUATION,California,CA ,Highland Park Continuation,62271003082
HIGHLAND RANCH ELEMENTARY,California,CA ,Highland Ranch Elementary,63153001204
HIGHLANDS ACADEMY,California,CA ,Highlands Academy,62007002402
HIGHLANDS COMMUNITY CHARTER,CALIFORNIA,CA ,Highlands Community Charter,60133213830
HIGHLANDS ELEMENTARY,California,CA ,Highlands Elementary,63597006155
HIGHLANDS ELEMENTARY,California,CA ,Highlands Elementary,62025002429
HIGHLANDS ELEMENTARY,California,CA ,Highlands Elementary,62637003951
HIGHLANDS ELEMENTARY,California,CA ,Highlands Elementary,63060004748
HIGHLANDS ELEMENTARY,California,CA ,Highlands Elementary,63492005907
HIGHLANDS HIGH,California,CA ,Highlands High,60133201988
"HILDA L. SOLIS LRNG ACAD SCH OF TECH, BUSINESS AND",California,CA ,"Hilda L. Solis Lrng Acad Sch of Tech, Business and Ed",62271013101
HILL CLASSICAL MIDDLE,California,CA ,Hill Classical Middle,62250002722
HILL CREEK ELEMENTARY,California,CA ,Hill Creek Elementary,63588006141
HILLCREST AT YOUTH SERVICES CENTER,California,CA ,Hillcrest at Youth Services Center,69103309248
HILLCREST DRIVE ELEMENTARY,California,CA ,Hillcrest Drive Elementary,62271003084
HILLCREST ELEMENTARY,California,CA ,Hillcrest Elementary,61494001896
HILLCREST ELEMENTARY,California,CA ,Hillcrest Elementary,63441005625
HILLCREST ELEMENTARY,California,CA ,Hillcrest Elementary,62805004275
HILLCREST HIGH,California,CA ,Hillcrest High,60243013184
HILLCREST MIDDLE,California,CA ,Hillcrest Middle,61584002001
HILLERY T. BROADOUS ELEMENTARY,California,CA ,Hillery T. Broadous Elementary,62271003008
HILLIARD COMSTOCK MIDDLE,California,CA ,Hilliard Comstock Middle,63583006123
HILLSDALE ELEMENTARY,California,CA ,Hillsdale Elementary,60133205098
HILLSDALE HIGH,California,CA ,Hillsdale High,63498005923
HILLSDALE MIDDLE,California,CA ,Hillsdale Middle,60681005234
HILLSIDE ACADEMY,California,CA ,Hillside Academy,62805004244
HILLSIDE ELEMENTARY,California,CA ,Hillside Elementary,63471005853
HILLSIDE ELEMENTARY,California,CA ,Hillside Elementary,63417009187
HILLSIDE ELEMENTARY,California,CA ,Hillside Elementary,62271003085
HILLSIDE ELEMENTARY,CALIFORNIA,CA ,Hillside Elementary,63753013873
HILLSIDE HIGH,California,CA ,Hillside High,60001609085
HILLSIDE JUNIOR/SENIOR HIGH,California,CA ,Hillside Junior/Senior High,62610006496
HILLSIDE MIDDLE,California,CA ,Hillside Middle,63684006255
HILLTOP DRIVE ELEMENTARY,California,CA ,Hilltop Drive Elementary,60861000862
HILLTOP MIDDLE,California,CA ,Hilltop Middle,63864006483
HILLTOP SENIOR HIGH,California,CA ,Hilltop Senior High,63864006484
HILLVIEW CREST ELEMENTARY,California,CA ,Hillview Crest Elementary,62691004071
HILLVIEW HIGH (CONTINUATION),California,CA ,Hillview High (Continuation),64015006641
HILLVIEW JUNIOR HIGH,California,CA ,Hillview Junior High,63060004749
HILLVIEW MIDDLE,California,CA ,Hillview Middle,62457003683
HILLVIEW MIDDLE,California,CA ,Hillview Middle,64212002217
HILLVIEW MIDDLE,California,CA ,Hillview Middle,61185001315
HILMAR HIGH,California,CA ,Hilmar High,61722002177
HILMAR MIDDLE,California,CA ,Hilmar Middle,61722009856
HILTON D. BELL INTERMEDIATE,California,CA ,Hilton D. Bell Intermediate,61488001826
HIRAM W. JOHNSON HIGH,California,CA ,Hiram W. Johnson High,63384005247
HOAGLIN-ZENIA ELEMENTARY,California,CA ,Hoaglin-Zenia Elementary,63763006376
HOBART BOULEVARD ELEMENTARY,California,CA ,Hobart Boulevard Elementary,62271003086
HOFFER ELEMENTARY,California,CA ,Hoffer Elementary,60384000351
HOGAN MIDDLE,California,CA ,Hogan Middle,64074006736
HOLDER ELEMENTARY,California,CA ,Holder Elementary,63603009194
HOLLAND ELEMENTARY,California,CA ,Holland Elementary,61455001738
HOLLENBECK MIDDLE,California,CA ,Hollenbeck Middle,62271003087
HOLLENCREST MIDDLE,California,CA ,Hollencrest Middle,64200004607
HOLLINGWORTH ELEMENTARY,California,CA ,Hollingworth Elementary,63375005201
HOLLISTER DUAL LANGUAGE ACADEMY,California,CA ,Hollister Dual Language Academy,61734012075
HOLLISTER ELEMENTARY,California,CA ,Hollister Elementary,61551001971
HOLLISTER PREP,California,CA ,Hollister Prep,61734013525
HOLLOW HILLS ELEMENTARY,California,CA ,Hollow Hills Elementary,63684006256
HOLLY AVENUE ELEMENTARY,California,CA ,Holly Avenue Elementary,60297000231
HOLLY DRIVE LEADERSHIP ACADEMY,California,CA ,Holly Drive Leadership Academy,63432008306
HOLLY OAK ELEMENTARY,California,CA ,Holly Oak Elementary,61314001494
HOLLYDALE,California,CA ,Hollydale,62985004648
HOLLYVALE ELEMENTARY,California,CA ,Hollyvale Elementary,60001409476
HOLLYWOOD BEACH ELEMENTARY,California,CA ,Hollywood Beach Elementary,61785002202
HOLLYWOOD PARK ELEMENTARY,California,CA ,Hollywood Park Elementary,63384005248
HOLLYWOOD PRIMARY CENTER,California,CA ,Hollywood Primary Center,62271010877
HOLLYWOOD SENIOR HIGH,California,CA ,Hollywood Senior High,62271003088
HOLMES AVENUE ELEMENTARY,California,CA ,Holmes Avenue Elementary,62271003090
HOLMES ELEMENTARY,California,CA ,Holmes Elementary,62250002723
HOLMES ELEMENTARY,California,CA ,Holmes Elementary,63432005481
HOLTVILLE HIGH,California,CA ,Holtville High,61743002185
HOLTVILLE JUNIOR HIGH,California,CA ,Holtville Junior High,61743002186
HOMAN ELEMENTARY,California,CA ,Homan Elementary,61455001739
HOME & HOSP/TRANSITION SUPPORT,California,CA ,Home & Hosp/Transition Support,63432013144
HOME AND HOSPITAL PROGRAM,California,CA ,Home and Hospital Program,62805012610
HOME GARDENS ACADEMY,California,CA ,Home Gardens Academy,60985001055
HOME STREET MIDDLE,California,CA ,Home Street Middle,60140900490
HOMESTEAD (ALTERNATIVE),California,CA ,Homestead (Alternative),64098007931
HOMESTEAD HIGH,California,CA ,Homestead High,61443001697
HOMETECH CHARTER,California,CA ,Hometech Charter,62982004345
HONCUT,California,CA ,Honcut,62954004557
HONEY HOLLOW ELEMENTARY,California,CA ,Honey Hollow Elementary,62580008908
HONEY RUN ACADEMY ELEMENTARY,California,CA ,Honey Run Academy Elementary,62982012238
HONEY RUN ACADEMY SECONDARY,California,CA ,Honey Run Academy Secondary,62982008451
HONEYDEW ELEMENTARY,California,CA ,Honeydew Elementary,60003809400
HOOKER OAK ELEMENTARY,California,CA ,Hooker Oak Elementary,60837000820
HOOPA VALLEY ELEMENTARY,California,CA ,Hoopa Valley Elementary,61995002389
HOOPA VALLEY HIGH,California,CA ,Hoopa Valley High,61995002390
HOOPER AVENUE ELEMENTARY,California,CA ,Hooper Avenue Elementary,62271003091
HOOPER AVENUE PRIMARY CENTER,California,CA ,Hooper Avenue Primary Center,62271010875
HOOVER (HERBERT) MIDDLE,California,CA ,Hoover (Herbert) Middle,63441005624
HOOVER ELEMENTARY,California,CA ,Hoover Elementary,63213004968
HOOVER ELEMENTARY,California,CA ,Hoover Elementary,63801006418
HOOVER ELEMENTARY,California,CA ,Hoover Elementary,62805004276
HOOVER ELEMENTARY,California,CA ,Hoover Elementary,63531005989
HOOVER HIGH,California,CA ,Hoover High,63432005482
HOOVER MIDDLE,California,CA ,Hoover Middle,62250002724
HOOVER STREET ELEMENTARY,California,CA ,Hoover Street Elementary,62271003092
HOPE,California,CA ,Hope,60263000175
HOPE ACADEMY CHARTER,California,CA ,Hope Academy Charter,62586012947
HOPE CHARTER ACADEMY,CALIFORNIA,CA ,Hope Charter Academy,60000113764
HOPE ELEMENTARY,California,CA ,Hope Elementary,60750009120
HOPE ELEMENTARY,California,CA ,Hope Elementary,61749007426
HOPE ELEMENTARY,California,CA ,Hope Elementary,61752002191
HOPE STREET ELEMENTARY,California,CA ,Hope Street Elementary,62271010886
HOPE VIEW ELEMENTARY,California,CA ,Hope View Elementary,62814004335
HOPETON ELEMENTARY,California,CA ,Hopeton Elementary,62463003697
HORACE CURETON ELEMENTARY,California,CA ,Horace Cureton Elementary,60231000102
HORACE ENSIGN INTERMEDIATE,California,CA ,Horace Ensign Intermediate,62724004113
HORACE MANN,California,CA ,Horace Mann,60645012591
HORACE MANN ELEMENTARY,California,CA ,Horace Mann Elementary,63459005722
HORACE MANN ELEMENTARY,California,CA ,Horace Mann Elementary,62805004277
HORACE MANN ELEMENTARY,California,CA ,Horace Mann Elementary,60483000475
HORACE MANN ELEMENTARY,California,CA ,Horace Mann Elementary,61524001938
HORACE MANN ELEMENTARY,California,CA ,Horace Mann Elementary,60363000304
HORACE MANN JUNIOR HIGH,California,CA ,Horace Mann Junior High,62271003162
HORICON ELEMENTARY,California,CA ,Horicon Elementary,61758002192
HORIZON,California,CA ,Horizon,61111008560
HORIZON CHARTER,California,CA ,Horizon Charter,64214003557
HORIZON ELEMENTARY,California,CA ,Horizon Elementary,61605011600
HORIZON HIGH,California,CA ,Horizon High,60004007830
HORIZONS ALTERNATIVE,California,CA ,Horizons Alternative,62637009946
HORNBROOK ELEMENTARY,California,CA ,Hornbrook Elementary,61762002193
HORRALL ELEMENTARY,California,CA ,LEAD Elementary,63492005908
HORT ELEMENTARY,California,CA ,Hort Elementary,60363000305
HORTON ELEMENTARY,California,CA ,Horton Elementary,63432005483
HOSLER MIDDLE,California,CA ,Hosler Middle,62316011670
HOT SPRINGS ELEMENTARY,California,CA ,Hot Springs Elementary,61764002194
HOUGHTON-KEARNEY ELEMENTARY,California,CA ,Houghton-Kearney Elementary,60797007669
HOUSTON,California,CA ,Houston,62223002650
HOUSTON ELEMENTARY,California,CA ,Houston Elementary,64116006796
HOWARD CATTLE ELEMENTARY,California,CA ,Howard Cattle Elementary,60846009349
HOWARD ELEMENTARY,California,CA ,Howard Elementary,62847007805
HOWARD ELEMENTARY,California,CA ,Howard Elementary,62805004249
HOWARD ELEMENTARY,California,CA ,Howard Elementary,62334003546
HOWARD GARDNER COMMUNITY CHARTER,California,CA ,Howard Gardner Community Charter,60861012866
HOWARD INGHRAM ELEMENTARY,California,CA ,Howard Inghram Elementary,63417009434
HOWARD J. MCKIBBEN ELEMENTARY,California,CA ,Howard J. McKibben Elementary,63756006357
HOWARD PENCE ELEMENTARY,California,CA ,Howard Pence Elementary,63738006324
HOWARD TANNER,California,CA ,Howard Tanner,62985010907
HOWARD WOOD ELEMENTARY,California,CA ,Howard Wood Elementary,63942006581
HOWE AVENUE ELEMENTARY,California,CA ,Howe Avenue Elementary,63462005785
HOWELL MOUNTAIN ELEMENTARY,California,CA ,Howell Mountain Elementary,61776002196
HUBBARD STREET ELEMENTARY,California,CA ,Hubbard Street Elementary,62271003094
HUBERT H. BANCROFT ELEMENTARY,California,CA ,Hubert H. Bancroft Elementary,63384005249
HUBERT HOWE BANCROFT MIDDLE,California,CA ,Hubert Howe Bancroft Middle,62271002836
HUDNALL (CLAUDE) ELEMENTARY,California,CA ,Hudnall (Claude) Elementary,61839002253
HUDSON K-8,California,CA ,Hudson K-8,62250002725
HUENEME ELEMENTARY,California,CA ,Hueneme Elementary,61785002203
HUENEME HIGH,California,CA ,Hueneme High,62927004519
HUGHES MIDDLE,California,CA ,Hughes Middle,62250002726
HUGHES-ELIZABETH LAKES,California,CA ,Hughes-Elizabeth Lakes,61788007291
HUGHSON ELEMENTARY,California,CA ,Hughson Elementary,60006002209
HUGHSON HIGH,California,CA ,Hughson High,60006002212
HUGO REID ELEMENTARY,California,CA ,Hugo Reid Elementary,60297000232
HUMANITAS ACAD OF ART AND TECH AT ESTEBAN E. TORRE,California,CA ,Humanitas Acad of Art and Tech at Esteban E. Torres High #4,62271012711
HUMANITIES AND ARTS (HARTS) ACADEMY OF LOS ANGELES,California,CA ,Humanities and Arts (HARTS) Academy of Los Angeles,62271013579
HUMBOLDT COUNTY OFFICE OF EDUCATION COURT,California,CA ,Humboldt County Office of Education Court,69100910797
HUMBOLDT COUNTY OFFICE OF EDUCATION JUVENILE HALL,California,CA ,Humboldt County Office of Education Juvenile Hall Court,69100910798
HUMBOLDT COUNTY ROP,California,CA ,Humboldt County ROP,60010010802
HUME LAKE CHARTER,California,CA ,Hume Lake Charter,69100711584
HUMPHREYS AVENUE ELEMENTARY,California,CA ,Humphreys Avenue Elementary,62271003096
"HUMPHREYS COLLEGE ACADEMY OF BUSINESS, LAW AND EDU",California,CA ,"Humphreys College Academy of Business, Law and Education",62703013064
HUNT ELEMENTARY,California,CA ,Hunt Elementary,62720011360
HUNT ELEMENTARY,California,CA ,Hunt Elementary,63417005362
HUNTINGTON BEACH HIGH,California,CA ,Huntington Beach High,61806002230
HUNTINGTON DRIVE ELEMENTARY,California,CA ,Huntington Drive Elementary,62271003097
HUNTINGTON MIDDLE,California,CA ,Huntington Middle,63486005885
HUNTINGTON PARK ELEMENTARY,California,CA ,Huntington Park Elementary,62271011647
HUNTINGTON PARK SENIOR HIGH,California,CA ,Huntington Park Senior High,62271003098
HUNTINGTON SEACLIFF ELEMENTARY,California,CA ,Huntington Seacliff Elementary,61803008242
HURD BARRINGTON ELEMENTARY,California,CA ,Hurd Barrington Elementary,62720012979
HURLEY ELEMENTARY,California,CA ,Hurley Elementary,63375005202
HURLEY ELEMENTARY,California,CA ,Hurley Elementary,64116001847
HURON ELEMENTARY,California,CA ,Huron Elementary,60912000934
HURON MIDDLE,California,CA ,Huron Middle,60912005748
HYAMPOM ARTS MAGNET ELEMENTARY,California,CA ,Hyampom Arts Magnet Elementary,60001809109
HYATT ELEMENTARY,California,CA ,Hyatt Elementary,63444005690
HYDESVILLE ELEMENTARY,California,CA ,Hydesville Elementary,61812002237
IBARRA ELEMENTARY,California,CA ,Ibarra Elementary,63432011384
ICEF INGLEWOOD ELEMENTARY CHARTER ACADEMY,California,CA ,ICEF Inglewood Elementary Charter Academy,61839012467
ICEF INGLEWOOD MIDDLE CHARTER ACADEMY,California,CA ,ICEF Inglewood Middle Charter Academy,61839012531
ICEF VISTA ELEMENTARY ACADEMY,California,CA ,ICEF Vista Elementary Academy,62271012222
ICEF VISTA MIDDLE ACADEMY,California,CA ,ICEF Vista Middle Academy,62271011954
IDA JEW ACADEMIES,California,CA ,Ida Jew Academies,62640001486
IDEA CENTER,CALIFORNIA,CA ,IDEA Center,61623013915
IDYLLWILD,California,CA ,Idyllwild,61692002155
IFTIN CHARTER,California,CA ,Iftin Charter,63432011385
IFTIN UNIVERSITY PREP HIGH,California,CA ,Iftin University Prep High,63432012577
IGO-ONO ELEMENTARY,California,CA ,Igo-Ono Elementary,61816002238
IHIGH VIRTUAL ACADEMY,California,CA ,iHigh Virtual Academy,63432012534
ILEAD INNOVATION STUDIOS,CALIFORNIA,CA ,iLEAD Innovation Studios,60000113859
ILEAD LANCASTER CHARTER,California,CA ,iLEAD Lancaster Charter,62088013037
IMAGINE SCHOOLS AT IMPERIAL VALLEY,California,CA ,Imagine Schools at Imperial Valley,61203012728
"IMAGINE SCHOOLS, RIVERSIDE COUNTY",California,CA ,"Imagine Schools, Riverside County",69102612985
IMOGENE GARNER HOOK JUNIOR HIGH,California,CA ,Imogene Garner Hook Junior High,63697206779
IMPACT ACADEMY OF ARTS & TECHNOLOGY,California,CA ,Impact Academy of Arts & Technology,61674011849
IMPERIAL AVE. HOLBROOK HIGH,California,CA ,Imperial Ave. Holbrook High,61821002242
IMPERIAL BEACH CHARTER,California,CA ,Imperial Beach Charter,63738006320
IMPERIAL COUNTY JUVENILE HALL/COMMUNITY,California,CA ,Imperial County Juvenile Hall/Community,69101009224
IMPERIAL COUNTY SPECIAL EDUCATION,California,CA ,Imperial County Special Education,69101007929
IMPERIAL ELEMENTARY,California,CA ,Imperial Elementary,61146001269
IMPERIAL ELEMENTARY,California,CA ,Imperial Elementary,62865004432
IMPERIAL HIGH,California,CA ,Imperial High,61821002243
IMPERIAL MIDDLE,California,CA ,Imperial Middle,62019002412
IMPERIAL VALLEY HOME SCHOOL ACADEMY,California,CA ,Imperial Valley Home School Academy,61203012660
IMPERIAL VALLEY ROP,California,CA ,Imperial Valley ROP,60010110803
INA ARBUCKLE ELEMENTARY,California,CA ,Ina Arbuckle Elementary,61926002311
INDEPENDENCE,California,CA ,Independence,62223008320
INDEPENDENCE CHARTER,California,CA ,Independence Charter,63390012472
INDEPENDENCE CHARTER ACADEMY,CALIFORNIA,CA ,Independence Charter Academy,61686013836
INDEPENDENCE CONTINUATION,California,CA ,Independence Continuation,61207001343
INDEPENDENCE CONTINUATION,California,CA ,Independence Continuation,62271003100
INDEPENDENCE CONTINUATION HIGH,California,CA ,Independence Continuation High,60006808144
INDEPENDENCE ELEMENTARY,California,CA ,Independence Elementary,62271007120
INDEPENDENCE ELEMENTARY,California,CA ,Independence Elementary,63348007102
INDEPENDENCE HIGH,California,CA ,Independence High,62160008457
INDEPENDENCE HIGH,California,CA ,Independence High,61954012132
INDEPENDENCE HIGH,California,CA ,Independence High,60004812391
INDEPENDENCE HIGH,California,CA ,Independence High,61182001302
INDEPENDENCE HIGH,California,CA ,Independence High,63441007840
INDEPENDENCE HIGH (ALTERNATIVE),California,CA ,Independence High (Alternative),63363010036
INDEPENDENCE HIGH (ALTERNATIVE),California,CA ,Independence High (Alternative),60015310932
INDEPENDENCE HIGH (ALTERNATIVE),California,CA ,Independence High (Alternative),62466008164
INDEPENDENCE HIGH (CONTINUATION),California,CA ,Independence High (Continuation),60245008785
INDEPENDENT ELEMENTARY,California,CA ,Independent Elementary,60780009342
INDEPENDENT STUDY PROGRAM,California,CA ,Independent Study Program,62628012629
"INDEPENDENT STUDY, SOJOURNER TRUTH",California,CA ,"Independent Study, Sojourner Truth",62805005701
INDERKUM HIGH,California,CA ,Inderkum High,60003611084
INDIAN CREEK ELEMENTARY,California,CA ,Indian Creek Elementary,62598009165
INDIAN DIGGINGS ELEMENTARY,California,CA ,Indian Diggings Elementary,61824002245
INDIAN HILLS CONTINUATION HIGH,California,CA ,Indian Hills Continuation High,62100002521
INDIAN HILLS ELEMENTARY,California,CA ,Indian Hills Elementary,61926008860
INDIAN SPRINGS ELEMENTARY,California,CA ,Indian Springs Elementary,61827002246
INDIAN SPRINGS HIGH,California,CA ,Indian Springs High,63417013013
