CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
1.06E+13,Fowler High,S,N,FEM,7,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,Design Science Early College High,S,N,FEM,6,*,*,0,*,0,*,0,*,100,*,0,1314
1.06E+13,Sierra Charter,S,Y,FEM,6,*,*,50,*,0,*,0,*,50,*,0,1314
1.06E+13,University High,S,Y,FEM,2,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,University High,S,Y,FEM,4,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,Fresno Academy for Civic and Entrepreneurial Leadership,S,Y,FEM,7,*,*,88.89,*,11.1,*,0,*,0,*,0,1314
1.06E+13,Bullard High,S,N,FEM,1,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,J. E. Young Academic Center,S,N,FEM,2,13,*,61.54,*,23.1,*,0,*,15.4,*,0,1314
1.06E+13,J. E. Young Academic Center,S,N,FEM,9,*,*,75,*,25,*,0,*,0,*,0,1314
1.06E+13,Erma Duncan Polytechnical High,S,N,FEM,5,47,45,95.74,*,2.1,*,0,*,2.1,*,0,1314
1.06E+13,Cambridge Continuation High,S,N,FEM,5,55,31,56.36,14,25.5,*,0,*,14.5,*,3.6,1314
1.06E+13,Sunnyside High,S,N,FEM,1,*,*,100,*,0,*,0,*,0,*,0,1314
7.62E+12,Las Lomas High,S,N,FEM,0,*,*,0,*,100,*,0,*,0,*,0,1314
7.62E+12,Las Lomas High,S,N,FEM,7,128,128,100,*,0,*,0,*,0,*,0,1314
1.56E+13,Mojave Jr./Sr. High,S,N,MAL,6,*,*,83.33,*,16.7,*,0,*,0,*,0,1314
1.56E+13,California Pacific Charter School of Kern,S,Y,MAL,2,*,*,0,*,100,*,0,*,0,*,0,1314
1.56E+13,California Pacific Charter School of Kern,S,Y,MAL,5,13,*,15.38,*,69.2,*,0,*,15.4,*,0,1314
1.56E+13,California Pacific Charter School of Kern,S,Y,MAL,7,25,*,20,17,68,*,0,*,12,*,0,1314
1.56E+13,Rare Earth High (Continuation),S,N,MAL,6,*,*,0,*,100,*,0,*,0,*,0,1314
1.56E+13,Abraham Lincoln Alternative,S,N,MAL,4,*,*,100,*,0,*,0,*,0,*,0,1314
1.56E+13,Rosamond High,S,N,MAL,5,53,49,92.45,*,5.7,*,0,*,1.9,*,0,1314
1.56E+13,Rosamond High,S,N,MAL,7,27,25,92.59,*,0,*,0,*,7.4,*,0,1314
1.56E+13,Buena Vista High (Continuation),S,N,MAL,5,*,*,50,*,25,*,0,*,25,*,0,1314
1.56E+13,Taft Union High,S,N,MAL,7,55,54,98.18,*,1.8,*,0,*,0,*,0,1314
1.56E+13,Monroe High (Continuation),S,N,MAL,5,18,*,16.67,*,44.4,*,0,*,38.9,*,0,1314
1.56E+13,Wasco High,S,N,MAL,5,128,120,93.75,*,4.7,*,0,*,1.6,*,0,1314
1.56E+13,Wasco High,S,N,MAL,7,*,*,100,*,0,*,0,*,0,*,0,1314
1.57E+13,Mesquite Continuation High,S,N,MAL,1,*,*,100,*,0,*,0,*,0,*,0,1314
1.57E+13,Burroughs High,S,N,MAL,6,14,14,100,*,0,*,0,*,0,*,0,1314
1.57E+13,Burroughs High,S,N,MAL,1,*,*,100,*,0,*,0,*,0,*,0,1314
1.57E+13,Burroughs High,S,N,MAL,3,*,*,100,*,0,*,0,*,0,*,0,1314
1.57E+13,San Joaquin High (Continuation),S,N,MAL,6,*,*,0,*,100,*,0,*,0,*,0,1314
1.57E+13,San Joaquin High (Continuation),S,N,MAL,1,*,*,0,*,0,*,0,*,100,*,0,1314
1.61E+13,Kings County Special Education,S,N,MAL,5,*,*,50,*,16.7,*,0,*,33.3,*,0,1314
1.66E+13,California Virtual Academy @ Kings,S,Y,MAL,5,*,*,25,*,50,*,0,*,25,*,0,1314
1.66E+13,California Virtual Academy @ Kings,S,Y,MAL,7,22,*,45.45,*,45.5,*,0,*,9.1,*,0,1314
1.66E+13,"National University Academy, Armona",S,Y,MAL,5,*,*,0,*,40,*,0,*,30,*,30,1314
1.66E+13,"National University Academy, Armona",S,Y,MAL,7,*,*,16.67,*,66.7,*,0,*,0,*,16.7,1314
1.66E+13,Mission Community Day,S,N,MAL,5,*,*,0,*,100,*,0,*,0,*,0,1314
1.66E+13,Corcoran High,S,N,MAL,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.66E+13,Sierra Pacific High,S,N,MAL,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.66E+13,Sierra Pacific High,S,N,MAL,3,*,*,100,*,0,*,0,*,0,*,0,1314
1.66E+13,Earl F. Johnson High (Continuation),S,N,MAL,7,12,*,41.67,*,33.3,*,0,*,25,*,0,1314
1.66E+13,Hanford High,S,N,MAL,2,*,*,33.33,*,66.7,*,0,*,0,*,0,1314
1.66E+13,Hanford High,S,N,MAL,0,*,*,100,*,0,*,0,*,0,*,0,1314
1.66E+13,Hanford High,S,N,MAL,7,45,42,93.33,*,4.4,*,0,*,2.2,*,0,1314
1.66E+13,Lemoore Middle College High,S,Y,MAL,2,*,*,100,*,0,*,0,*,0,*,0,1314
1.66E+13,Lemoore Middle College High,S,Y,MAL,7,*,*,85.71,*,14.3,*,0,*,0,*,0,1314
1.66E+13,Lemoore High,S,N,MAL,6,25,23,92,*,4,*,0,*,4,*,0,1314
1.66E+13,Lemoore High,S,N,MAL,1,*,*,100,*,0,*,0,*,0,*,0,1314
1.66E+13,Lemoore High,S,N,MAL,3,*,*,100,*,0,*,0,*,0,*,0,1314
1.71E+13,Clearlake Creativity,S,N,MAL,1,*,*,0,*,100,*,0,*,0,*,0,1314
1.71E+13,Lloyd Hance Community,S,N,MAL,1,*,*,0,*,0,*,0,*,0,*,100,1314
1.76E+13,Carle (William C.) High (Continuation),S,N,MAL,6,*,*,50,*,0,*,0,*,50,*,0,1314
1.76E+13,Richard H. Lewis Alternative,S,N,MAL,5,*,*,0,*,0,*,0,*,100,*,0,1314
1.76E+13,Lower Lake High,S,N,MAL,0,*,*,100,*,0,*,0,*,0,*,0,1314
1.76E+13,Lower Lake High,S,N,MAL,9,*,*,0,*,50,*,0,*,50,*,0,1314
1.96E+13,Highland Park Continuation,S,N,FEM,5,19,*,31.58,*,15.8,*,0,*,52.6,*,0,1314
