Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Under 5 years,Income in 1999 below poverty level: - 5 years,Income in 1999 below poverty level: - 6 to 11 years,Income in 1999 below poverty level: - 12 to 17 years,Income in 1999 below poverty level: - 18 to 64 years,Income in 1999 below poverty level: - 65 to 74 years,Income in 1999 below poverty level: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Under 5 years,Income in 1999 at or above poverty level: - 5 years,Income in 1999 at or above poverty level: - 6 to 11 years,Income in 1999 at or above poverty level: - 12 to 17 years,Income in 1999 at or above poverty level: - 18 to 64 years,Income in 1999 at or above poverty level: - 65 to 74 years,Income in 1999 at or above poverty level: - 75 years and over
8600000US90805,90805,ZCTA5 90805,90448,21918,2892,643,3898,2688,11004,433,360,68530,5808,1467,8576,6715,41178,2822,1964
8600000US90806,90806,ZCTA5 90806,48752,13935,1794,329,2452,2106,6947,174,133,34817,2844,743,3507,3108,22235,1266,1114
8600000US90807,90807,ZCTA5 90807,30961,2689,191,77,289,237,1696,69,130,28272,1863,371,2372,1945,18243,1422,2056
8600000US90808,90808,ZCTA5 90808,36914,1923,125,33,163,157,1071,91,283,34991,2367,622,2793,2434,21471,2627,2677
8600000US90810,90810,ZCTA5 90810,35403,7475,891,223,1226,1100,3529,253,253,27928,2101,450,3129,2608,16533,1680,1427
8600000US90813,90813,ZCTA5 90813,62281,28416,3990,955,5266,3432,13868,500,405,33865,3120,833,3650,3291,20836,1326,809
8600000US90814,90814,ZCTA5 90814,19002,2623,147,6,205,208,1774,88,195,16379,986,159,816,672,12185,716,845
8600000US90815,90815,ZCTA5 90815,36512,2287,76,0,92,156,1827,60,76,34225,2149,390,2561,2055,21441,2522,3107
8600000US90822,90822,ZCTA5 90822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US908HH,908HH,ZCTA5 908HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US91001,91001,ZCTA5 91001,35597,3718,354,114,357,619,1960,164,150,31879,1955,476,3013,2521,20182,1955,1777
8600000US91006,91006,ZCTA5 91006,30112,2013,112,55,202,233,1195,96,120,28099,1316,370,2317,2833,17074,2188,2001
8600000US91007,91007,ZCTA5 91007,30182,2802,104,23,214,264,1792,161,244,27380,1185,256,2209,2240,16721,2129,2640
8600000US91010,91010,ZCTA5 91010,26703,2936,304,49,377,315,1629,175,87,23767,1794,397,2490,2108,14469,1363,1146
8600000US91011,91011,ZCTA5 91011,20287,844,62,11,104,108,432,46,81,19443,956,251,2292,2105,11145,1488,1206
